ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
6988,simple,01,,Margherita,1,0,visible,,"Kirsikkatomaatti - Mozzarella Juusto",,,taxable,,1,,,0,0,,,,,1,,,"9,5",Pizzat,"margherita, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/05/5e2ac72f-8742-4681-bf79-aadc0e5b7174.webp,,,,,,,,,0,
6989,simple,02,,Bolognese,1,0,visible,,Jauhelihaasiko,,,taxable,,1,,,0,0,,,,,1,,,"9,5",Pizzat,"bolognese, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/06/c8830ac4-df4f-470e-9786-8165ee25bd60.webp,,,,,,,,,0,
6990,simple,03,,Hawaii,1,0,visible,,"Kinkkusuikale - Ananas",,,taxable,,1,,,0,0,,,,,1,,,10,Pizzat,"hawaii, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/05/65a32cc2-44f7-43cf-9a0e-9741238eebe4.webp,,,,,,,,,0,
6991,simple,04,,Opera,1,0,visible,,"Kinkkusuikale - Tonnikala",,,taxable,,1,,,0,0,,,,,1,,,10,Pizzat,"opera, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/05/9c2301e0-ed98-48f7-aecb-af5d608f85b6.webp,,,,,,,,,0,
6992,simple,05,,"Opera Special",1,0,visible,,"Kinkkusuikale - Tonnikala - Salami",,,taxable,,1,,,0,0,,,,,1,,,11,Pizzat,"opera special, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/05/008fab51-b265-4d3a-beda-617ca0dcf4e3.webp,,,,,,,,,0,
6993,simple,06,,Americano,1,0,visible,,"Kinkkusuikale - Ananas - Aurajuusto",,,taxable,,1,,,0,0,,,,,1,,,11,Pizzat,"americano, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/05/f4bd819b-4734-4749-bee5-f1a00445f060.webp,,,,,,,,,0,
6994,simple,07,,Vegetariana,1,0,visible,,"Tuoreherkkusieni - Sipuli - Oliivi - Tomaatti",,,taxable,,1,,,0,0,,,,,1,,,11,Pizzat,"pizza, vegetariana",,https://ravintolababylon.fi/wp-content/uploads/2024/06/3cbc9d60-8a38-4084-a239-52529c0139a9.webp,,,,,,,,,0,
6995,simple,08,,Mexicana,1,0,visible,,"Salami - Ananas - Kebabliha - Jalapeno",,,taxable,,1,,,0,0,,,,,1,,,12,Pizzat,"mexicana, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/06/e5399773-0208-4e36-b0cb-653a54b2a089.webp,,,,,,,,,0,
6996,simple,09,,Paradiso,1,0,visible,,"Kinkkusuikale - Tuoreherkkusieni - Sipuli - Kebabliha - Katkarapu",,,taxable,,1,,,0,0,,,,,1,,,"13,50",Pizzat,"paradiso, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/06/78e516e7-dfed-4ec0-b4c2-06df6bad8ec6.webp,,,,,,,,,0,
6997,simple,10,,"Frutti di Mare",1,0,visible,,"Tonnikala - Simpukka - Katkarapu",,,taxable,,1,,,0,0,,,,,1,,,"11,5",Pizzat,"frutti di mare, pizza",,https://ravintolababylon.fi/wp-content/uploads/2024/05/6db8b4d2-5c09-407a-bc7c-749340ee9317.webp,,,,,,,,,0,
